ALAND,GEOID,ndvi
4916641,42101980200,0.547474601
5343127,42101980100,0.542438682
3310650,42101038600,0.500817448
2913179,42101022000,0.492710549
2590560,42101038400,0.467336171
1410069,42101021900,0.463129411
2103934,42101980800,0.458587673
799347,42101023500,0.447800161
2051448,42101038700,0.437084355
1341998,42101038500,0.43309454
895387,42101020800,0.431898182
486021,42101023900,0.429841798
732749,42101023100,0.42432791
5919457,42101980002,0.42052341
1390293,42101038800,0.41397413
1846263,42101005400,0.409574047
416088,42101980500,0.408944353
978079,42101023600,0.404904464
1237805,42101034200,0.398192583
865284,42101025600,0.396034768
1745920,42101029200,0.389679619
876796,42101012100,0.389460092
4512446,42101036400,0.377450338
1114276,42101006500,0.376676354
1280554,42101038900,0.372653172
1991449,42101021600,0.365948036
840413,42101005600,0.361874024
766601,42101025500,0.360410504
2556620,42101036303,0.359843343
1033282,42101037500,0.357889658
614685,42101026900,0.354497543
2244712,42101035900,0.353865999
586720,42101025800,0.352228979
3419032,42101034400,0.351674966
1733146,42101036502,0.350920774
2526129,42101980001,0.349547011
642216,42101027000,0.346278029
1006008,42101021800,0.346008024
600670,42101012000,0.342718541
889786,42101027902,0.342040959
1072974,42101023700,0.339721673
1498641,42101035302,0.338786514
1850925,42101035200,0.33818717
1816210,42101036501,0.334327619
2029700,42101035601,0.33248274
799191,42101020702,0.33129608
1140699,42101033900,0.330720399
654025,42101011700,0.330244814
1232182,42101034802,0.328703471
1532105,42101036203,0.32804836
2597399,42101037300,0.327950836
1205996,42101036100,0.321558728
1271528,42101034803,0.31814167
1295909,42101020600,0.315823703
1757642,42101035800,0.313655584
763894,42101034000,0.313031565
810472,42101028902,0.312710105
1559580,42101021700,0.312255625
1004126,42101021500,0.311380159
1398722,42101035301,0.310113673
781630,42101023800,0.308954746
1385962,42101034801,0.308757036
679034,42101024300,0.307186617
7596033,42101980300,0.298315314
746915,42101025700,0.297993887
1032346,42101034702,0.296759713
800999,42101024500,0.29622355
1031927,42101036201,0.296013717
515705,42101021200,0.295445337
941266,42101024700,0.294325313
1394857,42101035602,0.294132083
376738,42101012201,0.290636159
1168597,42101005500,0.277743314
1057801,42101033702,0.276190216
842716,42101033200,0.276097711
679047,42101027200,0.272846925
769759,42101025400,0.271434565
1338392,42101034100,0.268626368
1119799,42101039100,0.268413776
617080,42101024000,0.268166995
554014,42101021100,0.262638969
773393,42101029000,0.262121657
532060,42101024200,0.260907
1140891,42101017100,0.260270594
879459,42101012204,0.258815748
447469,42101034501,0.258017092
2290052,42101035500,0.257909953
795704,42101030800,0.257428512
773215,42101031900,0.256947714
1400214,42101033800,0.255903112
952424,42101025200,0.25507843
621261,42101024600,0.253186885
1102852,42101036202,0.252775376
922923,42101032900,0.252043913
1944025,42101034900,0.250498021
642367,42101006400,0.249704406
1148286,42101034701,0.248952646
421189,42101024400,0.245796267
510556,42101008301,0.241801416
611452,42101027500,0.240380282
1021734,42101034502,0.239887893
1559150,42101035702,0.239819266
520968,42101036302,0.239217331
655249,42101030700,0.238568835
